EicCode,EicDisplayName,EicLongName,EicParent,EicResponsibleParty,EicStatus,MarketParticipantPostalCode,MarketParticipantIsoCountryCode,MarketParticipantVatCode,EicTypeFunctionList,type
11WD8GOLD1H---AL,GOLD_PS_A,Goldisthal A,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8GOLD1H---BJ,GOLD_PS_B,Goldisthal B,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8GOLD1H---CH,GOLD_PS_C,Goldisthal C,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8GOLD1H---DF,GOLD_PS_D,Goldisthal D,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HATR5G----3,HKWT,Heizkraftwerk-Trotha,,,Active,,,,Generation,W
11WD8HATR5G--DTC,HKWT-DT,Heizkraftwerk-Trotha-Dampfturbine,,,Active,,,,Generation,W
11WD8HATR5G--GT3,HKWT-GT,Heizkraftwerk-Trotha-Gasturbine,,,Active,,,,Generation,W
11WD8HAVLXW----0,HAVELL-W,Havelland_Wind,,,Active,,,,Generation,W
11WD8HAVLXW---PM,HAVELL-WPROD,Havelland_Wind Produktionsanlage,,,Active,,,,Generation,W
11WD8HOH15H---A3,HOW1_PS_A,Hohenwarte1 A,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH15H---B1,HOW1_PS_B,Hohenwarte1 B,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH15H----P,HOW1_ST_-,Hohenwarte1,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH15H--TCK,HOW1_PS_C,Hohenwarte1 C,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H----1,HOW2_ST_-,Hohenwarte2,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H---AG,HOW2_PS_A,Hohenwarte2 A,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H---BE,HOW2_PS_B,Hohenwarte2 B,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H---CC,HOW2_PS_C,Hohenwarte2 C,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H---DA,HOW2_PS_D,Hohenwarte2 D,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H---E8,HOW2_PS_E,Hohenwarte2 E,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H---F6,HOW2_PS_F,Hohenwarte2 F,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H---G4,HOW2_PS_G,Hohenwarte2 G,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8HOH22H---H2,HOW2_PS_H,Hohenwarte2 H,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8JAEN1L---AD,JAEN_BL_A,Jänschwalde A,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8JAEN1L---BB,JAEN_BL_B,Jänschwalde B,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8JAEN1L---C9,JAEN_BL_C,Jänschwalde C,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8JAEN1L---D7,JAEN_BL_D,Jänschwalde D,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8JAEN1L---E5,JAEN_BL_E,Jänschwalde E,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8JAEN1L---F3,JAEN_BL_F,Jänschwalde F,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8JAEN1L----Z,JAEN_ST_-,Jänschwalde,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8KLIN5C---29,KLIN_BL_2,Klingenberg 2,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8KLIN5C---37,KLIN_BL_3,Klingenberg 3,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8KLIN5G--13E,KLIN_BL_-,Klingenberg 1-3,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8KLIN5G---1O,KLIN_BL_1,Klingenberg 1,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8KLIN5X----0,KLIN_ST_-,Klingenberg,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8LAUT5F---AT,TAL-_BL_A,TALauta A,,11X0-0000-0706-U,Active,,,,Generation,W
11WD8LAUT5F----E,TAL-_ST_-,TALauta,,11X0-0000-0706-U,Active,,,,Generation,W
11WD8LEIP5X----6,GUD-LPZ-NORD,GuD-Leipzig-Nord,,,Active,,,,Generation,W
11WD8LICH5G----1,LICH_ST_-,Lichterfelde,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8LICH5G---1Y,LICH_BL_1,Lichterfelde 1,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8LICH5G---2W,LICH_BL_2,Lichterfelde 2,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8LICH5G---3U,LICH_BL_3,Lichterfelde 3,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8LIPD1LD4--9,LIPP_LS_E,Lippendorf EnBW,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8LIPD1LD8--U,LIPP_LS_V,Lippendorf VE,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8LIPD1L----P,LIPP_ST_-,Lippendorf,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8LIPD1L---R6,LIPP_BL_R,Lippendorf R,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8LIPD1L---S4,LIPP_BL_S,Lippendorf S,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8MARK1H----7,MARK_ST_-,Markersbach,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8MARK1H---AM,MARK_PS_A,Markersbach A,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8MARK1H---BK,MARK_PS_B,Markersbach B,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8MARK1H---CI,MARK_PS_C,Markersbach C,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8MARK1H---DG,MARK_PS_D,Markersbach D,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8MARK1H---EE,MARK_PS_E,Markersbach E,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8MARK1H---FC,MARK_PS_F,Markersbach F,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8MITT5G----0,MITT_ST_-,Mitte,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MITT5G---1X,MITT_GT_1,Mitte 1,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MITT5G---2V,MITT_GT_2,Mitte 2,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MITT5G--DT9,MITT_BL_D,Mitte Dampf,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MITT5GGUD-8,MITT_BL_G,Mitte GuD,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MOAB5C---AZ,MOAB_BL_A,Moabit A,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MOAB5O---5A,MOAB_BL_5,Moabit 5,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MOAB5O---68,MOAB_BL_6,Moabit 6,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MOAB5O---76,MOAB_BL_7,Moabit 7,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MOAB5X----5,MOAB_ST_-,Moabit,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8MOOR1C---AV,MOOR_BL_A,Moorburg A,,,Active,,,,Generation,W
11WD8MOOR1C---BT,MOOR_BL_B,Moorburg B,,,Active,,,,Generation,W
11WD8MOOR1C----G,MOOR_ST_-,Moorburg ,,,Active,,,,Generation,W
11WD8NIWA5H---C8,NIED_PS_C,Niederwartha C,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8NIWA5H---D6,NIED_PS_D,Niederwartha D,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8NIWA5H----Y,NIED_ST_-,Niederwartha,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8REUT5F---MA,REUT_BL_M,Reuter M,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8REUT5X---CX,REUT_BL_C,Reuter C,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8REUT5X----M,REUT_ST_-,Reuter,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8REUW1C----4,REUW_ST_-,Reuter West,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8REUW1C---DD,REUW_BL_D,Reuter West D,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8REUW1C---EB,REUW_BL_E,Reuter West E,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8ROST1C----K,D8-ROS-KW,Rostock Kohlekraftwerk,,11XENBW-H------P,Active,,,,Generation,W
11WD8ROST1C---P5,D8-ROS-KW-P,Rostock Kohlekraftwerk Produktionsanlage,,11XENBW-H------P,Active,,,,Generation,W
11WD8RUEDXF---15,RUED_BL_A,IKW Rüdersdorf A,,11X0-0000-0706-U,Active,,,,Generation,W
11WD8RUEDXF----9,RUED_ST_-,IKW Rüdersdorf,,11X0-0000-0706-U,Active,,,,Generation,W
11WD8SCHK1L---A2,SCHKOPAU_A,SCHKOPAU_A,,11XRUHRENERGIE-J,Active,,,,Generation,W
11WD8SCHK1L---B0,SCHKOPAU_B,SCHKOPAU_B,,11XRUHRENERGIE-J,Active,,,,Generation,W
11WD8SCHK1L----O,SCHKOPAU,SCHKOPAU,,11XUNIPER-KW---7,Active,,,,Generation,W
11WD8SCHW5O---4K,PCKSDT_SE4,PCK Schwedt SE4,,,Active,,,,Generation,W
11WD8SCHW5O---5I,PCKSDT_SE5,PCK Schwedt SE5,,,Active,,,,Generation,W
11WD8SCHW5O---6G,PCKSDT_SE6,PCK Schwedt SE6,,,Active,,,,Generation,W
11WD8SCHW5X---19,PCKSDT_SE1,PCK Schwedt SE1,,,Active,,,,Generation,W
11WD8SCHW5X---27,PCKSDT_SE2,PCK Schwedt SE2,,,Active,,,,Generation,W
11WD8SCHW5X----D,PCKSDT_IKS,PCK Schwedt,,,Active,,,,Generation,W
11WD8SWPU1L----5,KSP__ST_-,Schwarze Pumpe,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8SWPU1L---AK,KSP__BL_A,Schwarze Pumpe A,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8SWPU1L---BI,KSP__BL_B,Schwarze Pumpe B,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G---AU,THY-_GT_A,Thyrow A,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G---BS,THY-_GT_B,Thyrow B,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G---CQ,THY-_GT_C,Thyrow C,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G---DO,THY-_GT_D,Thyrow D,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G---EM,THY-_GT_E,Thyrow E,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G----F,THY-_ST_-,Thyrow,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G---FK,THY-_GT_F,Thyrow F,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G---GI,THY-_GT_G,Thyrow G,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8THYR5G---HG,THY-_GT_H,Thyrow H,,11XVEGENERATIONB,Active,,,,Generation,W
11WD8TIEF5C----9,TIEF_BL_S,Tiefstack Steinkohle,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8TIEF5G--DTV,TIEF_BL_D,Tiefstack Dampf,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8TIEF5G-GT18,TIEF_GT_1,Tiefstack GT1,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8TIEF5G-GT26,TIEF_GT_2,Tiefstack GT2,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8TIEF5G-GUDI,TIEF_BL_-,Tiefstack GuD,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8TIEF5X----V,TIEF_ST_-,Tiefstack,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8WED15C---1M,WEDE_BL_1,Wedel 1 1,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8WED15C---2K,WEDE_BL_2,Wedel 1 2,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8WED15C----Q,WEDE_ST_-,Wedel HKW,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8WED25O---AZ,WED-_GT_A,Wedel A,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8WED25O---BX,WED-_GT_B,Wedel B,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8WED25O----K,WED-_ST_-,Wedel GT,,11X0-0000-0484-J,Active,,,,Generation,W
11WD8WEND5H---AA,WEND_PS_A,Wendefurth,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8WEND5H---B8,WEND_PS_B,Wendefurth,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8WEND5H----W,WEND_ST_-,Wendefurth,,11XWASSERKRAFT-N,Active,,,,Generation,W
11WD8WILM5O---13,WILM_BL_1,Wilmersdorf 1,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8WILM5O---21,WILM_BL_2,Wilmersdorf 2,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8WILM5O--3-W,WILM_BL_3,Wilmersdorf 3,,11XVE-BUHEATVK-I,Active,,,,Generation,W
11WD8WILM5O----7,WILM_ST_-,Wilmersdorf,,11XVE-BUHEATVK-I,Active,,,,Generation,W
12W-0000000007-I,BITSCH-AS,Electra-Massa,,12XEOS-H-------C,Active,,,,Generation Unit,W
12W-0000000011-W,KWZ-AS,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000013-Q,AKW-AS,AG KW Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000016-H,KHR-AS,KW Hinterrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000017-E,KKB-AS,KK Beznau,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000018-B,KLL-AS,KW Linth Limmern,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000021-S,KVR-AS,KW Vorderrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000026-D,KW-BLENIO-AS,Officine Idroelettriche di Blenio SA (Ofible),,12XATEL-HANDEL-K,Active,,,,Generation Unit,W
12W-0000000031-O,KWO-INNERTKIR-AS,Kraftwerk Oberhasli (Innertkirchen),,12XBKW-HANDEL--X,Active,,,,Generation Unit,W
12W-0000000033-I,EGL-KWM-SDL---AS,Kraftwerke Mattmark AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000034-F,CKW-FMM-SDL---AS,Forces Motrices de Mauvoisin SA,,12XCKW-HANDEL--K,Active,,,,Generation Unit,W
12W-0000000035-C,EGL-EKW-SDL---AS,Engadiner Kraftwerke AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000043-E,SKW-GOESCHENE-AS,KW Göschenen AG,,12XCKW-HANDEL--K,Active,,,,Generation Unit,W
12W-0000000052-D,KKW-LEIBSTADT-AS,Kernkraftwerk Leibstadt,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000056-1,KKW-GOESGEN-AS,Kernkraftwerk Gösgen (KKG),,12XATEL-HANDEL-K,Active,,,,Generation Unit,W
12W-0000000057-Z,KKW-MUEHLEBRG-AS,BKW FMB AG (Mühleberg),,12XBKW-HANDEL--X,Active,,,,Generation Unit,W
12W-0000000060-F,KW-EMOSSON-AS,Electricité Emosson SA (ESA),,12XATEL-HANDEL-K,Active,,,,Generation Unit,W
12W-0000000064-3,AET-LEVENTINA-AS,Leventina,,12XAET-HANDEL--3,Active,,,,Generation Unit,W
12W-0000000065-0,AET-VERZASCA-AS,Verzasca ,,12XAET-HANDEL--3,Active,,,,Generation Unit,W
12W-0000000072-5,KW-LOETSCHEN-AS,Kraftwerk Lötschen,,12XENALPIN-W-H-K,Active,,,,Generation,W
12W-0000000080-7,RHEINFELDEN-AS,KW Rheinfelden,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000105-J,KW-BITSCH-RO,Electra-Massa,,12XEM-BITSCH---M,Active,,,,Resource Object,W
12W-0000000116-C,KW-FMHL-VEYT-RO,Grande Dixence,,12XFMHL-VEYT---V,Active,,,,Resource Object,W
12W-0000000164-Z,RHEINFELDEN-RO,KW Rheinfelden,,12XAXPO-SUISSE-V,Active,,,,Resource Object,W
12W-0000000206-B,SBB-VERNAYAZ-AS,SBB Vernayaz,,11XSBB---------H,Active,,,,Generation Unit,W
12W-0000000207-8,SBB-GOESCHENE-AS,SBB Göschenen,,11XSBB---------H,Active,,,,Generation Unit,W
12W-0000000208-5,SBB-WASSEN-AS,SBB Wassen,,11XSBB---------H,Active,,,,Generation Unit,W
12W-0000000209-2,SBB-AMSTEG-AS,SBB Amsteg,,11XSBB---------H,Active,,,,Generation Unit,W
12W-0000000210-P,SBB-ETZELWERK-AS,SBB Etzelwerk,,11XSBB---------H,Active,,,,Generation Unit,W
12W-0000000211-M,SBB-CHATELARD-AS,SBB Chatelard,,11XSBB---------H,Active,,,,Generation Unit,W
12W-0000000241-A,PKW-NANTDRANC-AS,Nante de Drance,,12XATEL-HANDEL-K,Active,,,,Generation Unit,W
12W-0000000302-I,AKWRE-01-GE,AG KW Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000303-F,AKWRE-02-GE,AG KW Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000304-C,AKWRE-03-GE,EZE 04 Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000305-9,AKWRE-04-GE,EZE 04 Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000310-K,AKW-S301-GE,AG KW Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000311-H,AKWSIN02-GE,AG KW Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000312-E,AKWSIN03-GE,EZE 04 Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000313-B,AKWSIN04-GE,EZE 04 Wägital,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000338-P,EKWOVN01-GE,Engadiner Kraftwerke AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000339-M,EKWOVN02-GE,Engadiner Kraftwerke AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000342-2,EKWPRA01-GE,Engadiner Kraftwerke AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000344-X,EKWPRA02-GE,Engadiner Kraftwerke AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000345-U,EKWPRA03-GE,Engadiner Kraftwerke AG,,11XEZPADA------P,Active,,,,Generation Unit,W
12W-0000000346-R,EKWPRA04-GE,Engadiner Kraftwerke AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000347-O,EKWMAA01-GE,Engadiner Kraftwerke AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000348-L,EKWMAA02-GE,Engadiner Kraftwerke AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000415-0,KHRFEA01-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000416-Y,KHRFEA02-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000417-V,KHRFEA03-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000421-8,KHRBAG01-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000422-5,KHRBAG02-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000423-2,KHRBAG03-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000425-X,KHRBAG04-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000426-U,KHRSI-01-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000427-R,KHRSI-02-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000428-O,KHRSI-03-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000429-L,KHRSI-04-GE,KW Hinterrhein AG,,12XKHR---------6,Active,,,,Generation Unit,W
12W-0000000431-4,KKB-BEZNAU101-GE,KK Beznau,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000433-Z,KKB-BEZNAU201-GE,KK Beznau,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000438-K,KKL-LEIBSTT01-GE,Kernkraftwerk Leibstadt,,12XEGL-H-------0,Active,,,,Generation,W
12W-0000000441-0,KLL-LIMMERN01-GE,KW Linth Limmern,,12XEGL-H-------0,Active,,,,Generation,W
12W-0000000442-Y,KLL-LIMMERN02-GE,KW Linth Limmern,,12XEGL-H-------0,Active,,,,Generation,W
12W-0000000443-V,KLL-LIMMERN03-GE,KW Linth Limmern,,12XEGL-H-------0,Active,,,,Generation,W
12W-0000000444-S,KLL-LIMMERN04-GE,KW Linth Limmern,,12XEGL-H-------0,Active,,,,Generation,W
12W-0000000446-M,KLLHID01-GE,KW Linth Limmern,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000447-J,KLLHID02-GE,KW Linth Limmern,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000451-X,KLLTID01-GE,KW Linth Limmern,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000452-U,KLLTID02-GE,KW Linth Limmern,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000456-I,KSLMAG01-GE,KSL Mapragg,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000457-F,KSLMAG02-GE,KSL Mapragg,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000458-C,KSLMAG03-GE,KSL Mapragg,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000462-Q,KSL-SARELLI01-GE,KSL Sarelli,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000463-N,KSL-SARELLI02-GE,KSL Sarelli,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000464-K,KVR-SEDRUN-01-GE,KW Vorderrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000465-H,KVR-SEDRUN-02-GE,KW Vorderrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000466-E,KVR-SEDRUN-03-GE,KW Vorderrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000467-B,KVR-TAVANAA01-GE,KW Vorderrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000468-8,KVR-TAVANAA02-GE,KW Vorderrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000469-5,KVR-TAVANAA03-GE,KW Vorderrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000470-S,KVR-TAVANAA04-GE,KW Vorderrhein AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000479-1,KWMZEN01-GE,Kraftwerke Mattmark AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000480-O,KWMZEN02-GE,Kraftwerke Mattmark AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000483-F,KWMSTN01-GE,Kraftwerke Mattmark AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000484-C,KWMSTN02-GE,Kraftwerke Mattmark AG,,12XEGL-H-------0,Active,,,,Generation Unit,W
12W-0000000520-6,KWZZEA01-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000521-3,KWZZEA02-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000523-Y,KWZSA-01-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000524-V,KWZSA-02-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000525-S,KWZRON01-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000526-P,KWZRON02-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000527-M,KWZRON03-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000528-J,KWZRE-01-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000529-G,KWZRE-02-GE,KW Zervreila AG,,12XAXPO-SUISSE-V,Active,,,,Generation Unit,W
12W-0000000582-D,OIMSO-01-GE,Officine Idroelettriche di Mesolcina SA,,12XMKW---------0,Active,,,,Generation Unit,W
12W-0000000583-A,OIMSO-02-GE,Officine Idroelettriche di Mesolcina SA,,12XMKW---------0,Active,,,,Generation Unit,W
12W-0000000584-7,OIMSP-01-GE,Officine Idroelettriche di Mesolcina SA,,12XMKW---------0,Active,,,,Generation Unit,W
12W-0000000687-U,KLLLIN11-GE,PSKW-LIMMERN,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000688-R,KLLLIN12-GE,PSKW-LIMMERN,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000689-O,KLLLIN13-GE,PSKW-LIMMERN,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000690-A,KLLLIN14-GE,PSKW-LIMMERN,,12XAXPO-SUISSE-V,Active,,,,Generation,W
12W-0000000716-J,OLIVONE-RO,Officine Idroelettriche di Blenio SA (Ofible),,12XKW-BLENIO---T,Active,,,,Resource Object,W
12W-0000000719-A,VALLORCINE-RO,Electricité Emosson SA (ESA),,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000720-X,LA_BATIAZ-RO,Electricité Emosson SA (ESA),,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000722-R,VEYTAUX-RO,Forces Motrices de l’Hongrin Léman (FMHL1),,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000723-O,FIONNAY-GD-RO,Grande Dixence,,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000724-L,NENDAZ-RO,Grande Dixence,,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000725-I,BIEUDRON-RO,KW Bieudron,,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000730-T,ROBIEI-RO,Officine Idroelettriche della Maggia SA (Robiei),,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000731-Q,BAVONA-RO,Officine Idroelettriche della Maggia SA (Bavona),,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000733-K,CAVERGNO-RO,Officine Idroelettriche della Maggia SA (Cavergno),,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000734-H,VERBANO-RO,Officine Idroelettriche della Maggia SA (Verbano),,12XATEL-HANDEL-K,Active,,,,Resource Object,W
12W-0000000775-Z,GOESCHENEN-RO,KW Göschenen AG,,12XCKW-HANDEL--K,Active,,,,Resource Object,W
